BreakerId,ActiveEnergy,timestamp
7,12896,2026-02-25T22:00:01.557Z
1,991698,2026-02-25T23:00:01.632Z
2,17648,2026-02-25T23:00:01.635Z
3,433176,2026-02-25T23:00:01.637Z
4,1026370,2026-02-25T23:00:01.638Z
5,555475,2026-02-25T23:00:01.639Z
6,0,2026-02-25T23:00:01.640Z
7,12896,2026-02-25T23:00:01.641Z
1,991714,2026-02-26T00:00:01.563Z
2,17663,2026-02-26T00:00:01.566Z
3,433176,2026-02-26T00:00:01.567Z
4,1026400,2026-02-26T00:00:01.569Z
5,555490,2026-02-26T00:00:01.570Z
6,0,2026-02-26T00:00:01.571Z
7,12896,2026-02-26T00:00:01.572Z
1,991730,2026-02-26T01:00:01.550Z
2,17678,2026-02-26T01:00:01.555Z
3,433176,2026-02-26T01:00:01.557Z
4,1026430,2026-02-26T01:00:01.560Z
5,555507,2026-02-26T01:00:01.561Z
6,0,2026-02-26T01:00:01.563Z
7,12896,2026-02-26T01:00:01.564Z
1,991746,2026-02-26T02:00:01.598Z
2,17693,2026-02-26T02:00:01.601Z
3,433176,2026-02-26T02:00:01.603Z
4,1026450,2026-02-26T02:00:01.604Z
5,555523,2026-02-26T02:00:01.605Z
6,0,2026-02-26T02:00:01.606Z
7,12896,2026-02-26T02:00:01.607Z
1,991762,2026-02-26T03:00:01.604Z
2,17707,2026-02-26T03:00:01.608Z
3,433176,2026-02-26T03:00:01.610Z
4,1026480,2026-02-26T03:00:01.611Z
5,555538,2026-02-26T03:00:01.612Z
6,0,2026-02-26T03:00:01.613Z
7,12896,2026-02-26T03:00:01.615Z
1,991778,2026-02-26T04:00:01.737Z
2,17722,2026-02-26T04:00:01.740Z
3,433176,2026-02-26T04:00:01.742Z
4,1026510,2026-02-26T04:00:01.743Z
5,555555,2026-02-26T04:00:01.744Z
6,0,2026-02-26T04:00:01.746Z
7,12896,2026-02-26T04:00:01.747Z
1,991795,2026-02-26T05:00:01.596Z
2,17737,2026-02-26T05:00:01.601Z
3,433176,2026-02-26T05:00:01.602Z
4,1026530,2026-02-26T05:00:01.604Z
5,555571,2026-02-26T05:00:01.605Z
6,0,2026-02-26T05:00:01.606Z
7,12896,2026-02-26T05:00:01.607Z
1,991810,2026-02-26T06:00:01.535Z
2,17751,2026-02-26T06:00:01.538Z
3,433176,2026-02-26T06:00:01.539Z
4,1026560,2026-02-26T06:00:01.541Z
5,555586,2026-02-26T06:00:01.542Z
6,0,2026-02-26T06:00:01.544Z
7,12896,2026-02-26T06:00:01.545Z
1,991827,2026-02-26T07:00:01.618Z
2,17766,2026-02-26T07:00:01.622Z
3,433176,2026-02-26T07:00:01.623Z
4,1026590,2026-02-26T07:00:01.624Z
5,555605,2026-02-26T07:00:01.625Z
6,0,2026-02-26T07:00:01.626Z
7,12896,2026-02-26T07:00:01.628Z
1,991844,2026-02-26T08:00:01.573Z
2,17782,2026-02-26T08:00:01.577Z
3,433176,2026-02-26T08:00:01.578Z
4,1026660,2026-02-26T08:00:01.579Z
5,555627,2026-02-26T08:00:01.580Z
6,0,2026-02-26T08:00:01.581Z
7,12896,2026-02-26T08:00:01.582Z
1,991863,2026-02-26T09:00:01.596Z
2,17798,2026-02-26T09:00:01.600Z
3,433176,2026-02-26T09:00:01.601Z
4,1026740,2026-02-26T09:00:01.602Z
5,555649,2026-02-26T09:00:01.604Z
6,0,2026-02-26T09:00:01.605Z
7,12935,2026-02-26T09:00:01.606Z
1,991883,2026-02-26T10:00:01.707Z
2,17814,2026-02-26T10:00:01.711Z
3,433176,2026-02-26T10:00:01.713Z
4,1026810,2026-02-26T10:00:01.714Z
5,555673,2026-02-26T10:00:01.716Z
6,0,2026-02-26T10:00:01.717Z
7,13017,2026-02-26T10:00:01.718Z
1,991904,2026-02-26T11:00:01.926Z
2,17833,2026-02-26T11:00:01.933Z
3,433176,2026-02-26T11:00:01.935Z
4,1026880,2026-02-26T11:00:01.936Z
5,555697,2026-02-26T11:00:01.937Z
6,0,2026-02-26T11:00:01.938Z
7,13112,2026-02-26T11:00:01.939Z
1,991928,2026-02-26T12:00:01.663Z
2,17853,2026-02-26T12:00:01.670Z
3,433176,2026-02-26T12:00:01.671Z
4,1026950,2026-02-26T12:00:01.673Z
5,555721,2026-02-26T12:00:01.674Z
6,0,2026-02-26T12:00:01.675Z
7,13177,2026-02-26T12:00:01.677Z
1,991952,2026-02-26T13:00:01.718Z
2,17874,2026-02-26T13:00:01.727Z
3,433176,2026-02-26T13:00:01.729Z
4,1027030,2026-02-26T13:00:01.730Z
5,555749,2026-02-26T13:00:01.731Z
6,0,2026-02-26T13:00:01.732Z
7,13211,2026-02-26T13:00:01.733Z
1,991973,2026-02-26T14:00:01.624Z
2,17892,2026-02-26T14:00:01.628Z
3,433176,2026-02-26T14:00:01.629Z
4,1027100,2026-02-26T14:00:01.630Z
5,555774,2026-02-26T14:00:01.631Z
6,0,2026-02-26T14:00:01.633Z
7,13227,2026-02-26T14:00:01.633Z
1,991998,2026-02-26T15:00:01.721Z
2,17914,2026-02-26T15:00:01.735Z
3,433176,2026-02-26T15:00:01.737Z
4,1027150,2026-02-26T15:00:01.738Z
5,555799,2026-02-26T15:00:01.741Z
6,0,2026-02-26T15:00:01.742Z
7,13250,2026-02-26T15:00:01.743Z
1,992023,2026-02-26T16:00:01.635Z
2,17936,2026-02-26T16:00:01.649Z
3,433176,2026-02-26T16:00:01.651Z
4,1027200,2026-02-26T16:00:01.652Z
5,555826,2026-02-26T16:00:01.653Z
6,0,2026-02-26T16:00:01.654Z
7,13272,2026-02-26T16:00:01.655Z
1,992050,2026-02-26T17:00:01.642Z
2,17959,2026-02-26T17:00:01.654Z
3,433176,2026-02-26T17:00:01.656Z
4,1027250,2026-02-26T17:00:01.658Z
5,555850,2026-02-26T17:00:01.661Z
6,0,2026-02-26T17:00:01.663Z
7,13290,2026-02-26T17:00:01.665Z
1,992071,2026-02-26T18:00:01.928
2,17978,2026-02-26T18:00:01.928
3,433176,2026-02-26T18:00:01.928
4,1027300,2026-02-26T18:00:01.928
5,555875,2026-02-26T18:00:01.928
6,0,2026-02-26T18:00:01.928
7,13304,2026-02-26T18:00:01.928
1,992089,2026-02-26T19:00:01.640
2,17995,2026-02-26T19:00:01.640
3,433176,2026-02-26T19:00:01.641
4,1027350,2026-02-26T19:00:01.641
5,555902,2026-02-26T19:00:01.641
6,0,2026-02-26T19:00:01.641
7,13315,2026-02-26T19:00:01.641
1,992105,2026-02-26T20:00:01.585
2,18010,2026-02-26T20:00:01.585
3,433176,2026-02-26T20:00:01.585
4,1027380,2026-02-26T20:00:01.585
5,555922,2026-02-26T20:00:01.585
6,0,2026-02-26T20:00:01.585
7,13320,2026-02-26T20:00:01.585
1,992122,2026-02-26T21:00:01.640
2,18025,2026-02-26T21:00:01.641
3,433176,2026-02-26T21:00:01.641
4,1027420,2026-02-26T21:00:01.641
5,555941,2026-02-26T21:00:01.641
6,0,2026-02-26T21:00:01.641
7,13320,2026-02-26T21:00:01.641
1,992138,2026-02-26T22:00:01.618
2,18039,2026-02-26T22:00:01.618
3,433176,2026-02-26T22:00:01.618
4,1027450,2026-02-26T22:00:01.618
5,555961,2026-02-26T22:00:01.618
6,0,2026-02-26T22:00:01.618
7,13320,2026-02-26T22:00:01.618
1,992154,2026-02-26T23:00:01.689
2,18054,2026-02-26T23:00:01.689
3,433176,2026-02-26T23:00:01.689
4,1027480,2026-02-26T23:00:01.690
5,555980,2026-02-26T23:00:01.690
6,0,2026-02-26T23:00:01.690
7,13320,2026-02-26T23:00:01.690
1,992170,2026-02-27T00:00:01.581
2,18069,2026-02-27T00:00:01.581
3,433176,2026-02-27T00:00:01.581
4,1027510,2026-02-27T00:00:01.581
5,555998,2026-02-27T00:00:01.581
6,0,2026-02-27T00:00:01.581
7,13320,2026-02-27T00:00:01.581
1,992186,2026-02-27T01:00:01.844
2,18083,2026-02-27T01:00:01.845
3,433176,2026-02-27T01:00:01.845
4,1027540,2026-02-27T01:00:01.845
5,556018,2026-02-27T01:00:01.845
6,0,2026-02-27T01:00:01.845
7,13320,2026-02-27T01:00:01.845
1,992202,2026-02-27T02:00:01.578
2,18098,2026-02-27T02:00:01.578
3,433176,2026-02-27T02:00:01.578
4,1027570,2026-02-27T02:00:01.578
5,556037,2026-02-27T02:00:01.578
6,0,2026-02-27T02:00:01.578
7,13320,2026-02-27T02:00:01.578
1,992218,2026-02-27T03:00:01.556
2,18112,2026-02-27T03:00:01.556
3,433176,2026-02-27T03:00:01.556
4,1027590,2026-02-27T03:00:01.556
5,556055,2026-02-27T03:00:01.556
6,0,2026-02-27T03:00:01.556
7,13320,2026-02-27T03:00:01.556
1,992234,2026-02-27T04:00:01.607
2,18127,2026-02-27T04:00:01.607
3,433176,2026-02-27T04:00:01.607
4,1027630,2026-02-27T04:00:01.607
5,556075,2026-02-27T04:00:01.607
6,0,2026-02-27T04:00:01.607
7,13320,2026-02-27T04:00:01.607
1,992250,2026-02-27T05:00:01.559
2,18142,2026-02-27T05:00:01.559
3,433176,2026-02-27T05:00:01.559
4,1027650,2026-02-27T05:00:01.559
5,556094,2026-02-27T05:00:01.560
6,0,2026-02-27T05:00:01.560
7,13320,2026-02-27T05:00:01.560
1,992266,2026-02-27T06:00:01.540
2,18156,2026-02-27T06:00:01.540
3,433176,2026-02-27T06:00:01.540
4,1027680,2026-02-27T06:00:01.540
5,556112,2026-02-27T06:00:01.540
6,0,2026-02-27T06:00:01.540
7,13320,2026-02-27T06:00:01.540
